id,title,author,isbn,annual circs
1,Dazzle /,"Krantz, Judith.",9780517575017,40
2,The business of books :,"Schiffrin, Andre.",9781859847633,11
3,"Three bedrooms, one corpse /","Harris, Charlaine.",9780684196435,77
4,The German high command at war :,"Asprey, Robert B.",9780688082260,12
5,The Epicure's lament :,"Christensen, Kate,",9780767910309,24
6,Fatal legacy :,"Corley, Elizabeth.",9780312283810,32
7,The devil's music master :,"Shirakawa, Sam H.",9780195065084,18
8,Painting men's portraits /,"Singer, Joe,",9780823037957,23
9,The Battle of Britain :,"Hough, Richard Alexander,",9780393027662,25
10,The mocking program /,"Foster, Alan Dean,",9780446527743,22
11,The poetical works of Elizabeth Barrett Browning.,"Browning, Elizabeth Barrett,",9780395184851,16
12,Wildflowers :,"Zim, Herbert Spencer,",9781582381626,29
13,Temple /,"Reilly, Matthew.",9780312266592,64
14,Grandfather's journey /,"Say, Allen.",9780395570357,105
15,Leslie :,"Tyree, Omar.",9780743228664,34
16,Daughter of joy :,"Levy, Jo Ann,",9780312865023,30
17,Writings and drawings /,"Thurber, James,",9781883011222,42
18,The attorney :,"Martini, Steve,",9780399145360,25
19,Buzz /,"Wong, Janet S.",9780152019235,93
20,Send no flowers /,"Brown, Sandra,",9780553104042,45
21,The perfect wife :,"Gerhart, Ann.",9780373292141,26
23,Jumanji /,"Van Allsburg, Chris.",9780395304488,90
24,Crossroads of twilight /,"Jordan, Robert,",9780312864590,18
25,Drag queen /,"Rodi, Robert.",9780525939252,17
26,Miss Julia meets her match /,"Ross, Ann B.",9780670032938,33
27,Brooms are for flying /,"Rex, Michael.",9780805064100,73
28,Treetops :,"Cheever, Susan.",9780553072259,16
29,Magnolia Creek /,"Landis, Jill Marie.",9780345440419,46
30,Theories of personality /,"Hall, Calvin Springer,",9780471342274,42
31,Exploring Native North America /,"Thomas, David Hurst.",9780195108873,10
32,Alphabet antics :,"Vinton, Ken.",9781575420080,38
33,The Children's treasury of animal stories /,,9781550135046,25
36,The science of soil /,"Bocknek, Jonathan.",9780836824681,26
37,All-of-a-kind family downtown.,"Taylor, Sydney,",9780695803087,79
38,Texas vendetta /,"Kelton, Elmer.",9780765305725,32
40,Tracy Porter's home style :,"Porter, Tracy.",9780786868117,32
41,"Black, white, other :","Funderburg, Lise.",9780688118242,28
42,"Aunt Dimity, detective ","Atherton, Nancy.",9780786238439,51
43,Look! :,"Wilson, April.",9780803709256,22
44,Persuasive business proposals :,"Sant, Tom.",9780814471531,57
45,A double Coffin /,"Butler, Gwendoline.",9780312185695,48
46,Eleventh hour :,"Coulter, Catherine.",9780375431715,112
47,The new Oxford picture dictionary /,"Parnwell, E. C.",9780194346511,59
48,Road rage /,"Rendell, Ruth,",9780609600566,22
49,The secret cases of Sherlock Holmes /,"Thomas, Donald Serrell.",9780786705160,42
50,Where the willows weep /,"Shaw, Patricia.",9780312119140,30
51,Cinderella Skeleton /,"San Souci, Robert D.",9780152020033,59
52,Latitudes of melt :,"Clark, Joan,",9781569472675,27
53,Gutenberg :,"Man, John.",9780471218234,29
54,The successful self-publisher :,"Kavka, Dorothy.",9781879260382,31
55,I Corinthians :,,9780385028530,9
56,"Calligraphy, a practical handbook for the beginner /","Parker, Muriel M.",9780517381359,50
58,The science of plants /,"Bocknek, Jonathan.",9780836824674,56
60,The power broker :,"Caro, Robert A.",9780394720241,28
61,Before the knife :,"Slaughter, Carolyn.",9780375413971,16
62,Scruffy /,"Parish, Peggy.",9780060246594,225
63,Go where you wanna go :,,9780815412045,16
64,Hunt for the last cat /,"Denzel, Justin F.",9780399221019,26
65,Aunt Dimity's good deed /,"Atherton, Nancy.",9780670867158,140
66,Ghost soldiers :,"Sides, Hampton.",9780385495646,51
68,Assignment Oswald /,"Hosty, James P.",9781559703116,19
69,Atonement :,"McEwan, Ian.",9780754017523,65
70,The snake tattoo /,"Barnes, Linda.",9780312026431,87
71,A traveller's history of France /,"Cole, Robert.",9780940793477,36
72,Dishonored /,"Barrett, Maria.",9780446520355,25
73,The Devil knows how to ride :,"Leslie, Edward E.",9780679424550,17
74,The constant gardener :,"Le Carré, John,",9780743215565,58
75,Windchill summer :,"Mailer, Norris Church.",9780375503191,33
76,Cuba libre /,"Leonard, Elmore,",9780385323833,40
77,Zinn & the art of road bike maintenance /,"Zinn, Lennard.",9781884737701,21
79,Kilo class /,"Robinson, Patrick,",9780060191290,55
80,Al-Anon's twelve steps & twelve traditions.,,9780910034241,39
81,Ragtime /,"Doctorow, E. L.,",9780394469010,23
82,Rhinos who surf /,"Mammano, Julie.",9780811810005,77
83,The perfect recipe baking book :,"Jaffe, Murray.",9780525942283,68
84,Everything's eventual :,"King, Stephen,",9780743235150,23
85,The well of lost plots.,"Fforde, Jasper",9780670032891,48
86,Don Juan McQueen.,"Price, Eugenia.",9780397010578,23
87,Bitterroot Landing /,"Reynolds, Sheri.",9780399139949,31
88,Black cross /,"Iles, Greg.",9780525938293,134
89,Cat's prey ,"Eden, Dorothy,",9780896215986,41
90,The education of Koko /,"Patterson, Francine.",9780030461019,29
91,Petunia /,"Duvoisin, Roger,",9780394908656,97
92,Talking to dragons /,"Wrede, Patricia C., 1953-",9780152046910,35
93,The life of Benjamin Banneker,"Bedini, Silvio A.",9780684125749,14
94,The complete family health book /,,9780312253080,31
95,Justice Hall :,"King, Laurie R.",9780553111132,55
96,Riptide :,"Coulter, Catherine.",9780786226412,124
97,The seven mountains of Thomas Merton /,"Mott, Michael.",9780395313244,23
98,Franz Kafka.,"Baumer, Franz,",9780804420273,14
99,A personal odyssey /,"Sowell, Thomas,",9780684864648,12
100,The Watsons go to Birmingham--1963 /,"Curtis, Christopher Paul.",9780385321754,48
101,The cat-nappers :,"Wodehouse, P. G.",9780671219727,60
102,Crafts for Thanksgiving /,"Ross, Kathy",9781562945350,42
103,Crossroad blues :,"Atkins, Ace.",9780312192549,35
104,The llama who had no pajama :,"Hoberman, Mary Ann.",9780152001117,39
105,The day the Rabbi disappeared :,"Schwartz, Howard,",9780670887330,20
106,Growing up rich /,"Bernays, Anne.",,39
107,Hominids /,"Sawyer, Robert J.",9780312876920,56
108,Friday night at Silver Star :,"Henley, Patricia.",9780915308842,5
109,Ash Wednesday :,"Hawke, Ethan,",9780375413261,29
110,How the rooster got his crown /,"Poole, Amy Lowry.",9780823413898,22
111,The Twentieth train :,"Schreiber, Marion,",9780802117663,17
113,Working with emotional intelligence /,"Goleman, Daniel.",9780553104622,67
115,Darth maul :,"Reaves, Michael.",9780345435392,59
116,The shopkeeper's wife /,"Sickels, Noëlle,",9780312193331,44
117,The collected stories /,"Theroux, Paul.",9780670861279,20
118,Right as rain :,"Pelecanos, George P.",9780316695268,62
119,The alibi /,"Brown, Sandra,",9780446519809,72
120,"Great whales, the gentle giants /","Lauber, Patricia.",9780805017175,92
121,Passing for thin :,"Kuffel, Frances.",9780767912914,30
122,Riley in the morning ,"Brown, Sandra,",9780375430954,89
123,The Doll people /,"Martin, Ann M.,",9780786803613,43
124,The fortune teller's daughter /,"Wilson, Susan,",9780743442305,53
125,Who wrote the New Testament? :,"Mack, Burton L.",9780060655174,17
126,Focus your business :,"Brandt, Steven C.",9781888925036,32
128,Lyonel Feininger.,"Feininger, Lyonel Charles Adrian,",9780275435707,15
129,The collector of hearts :,"Oates, Joyce Carol,",9780525944454,31
130,The big bug book /,"Facklam, Margery.",9780316273893,115
131,A history of the wife /,"Yalom, Marilyn.",9780060193386,32
132,Evan help us /,"Bowen, Rhys.",9780312194116,88
133,No mercy :,"Walsh, John,",9780671019938,35
134,Widow's walk /,"Parker, Robert B.,",9780399148453,79
136,Electric guitars :,"Bacon, Tony.",9781571452818,60
137,Colder than hell :,"Owen, Joseph R.",9781557506603,22
138,A ticket to die for /,"Walker, David J.,",9780312193454,39
139,Smoke and mirrors :,"Gaiman, Neil.",9780380973644,118
140,The wedding /,"West, Dorothy,",9780385471435,3
141,Stone kiss :,"Kellerman, Faye.",9780446530385,18
142,The Jewish book of etiquette /,"Isaacs, Ronald H.",9780765759955,25
143,The atlas of bird migration :,,9780679438274,33
144,Rebels :,"De Rosa, Peter,",9780385267526,34
145,"Ten, nine, eight /","Bang, Molly.",9780688009069,47
146,"Ten, nine, eight /","Bang, Molly.",9780688009069,78
147,The coming /,"Haldeman, Joe W.",9780441007691,44
148,Sandra Day O'Connor /,"Huber, Peter W.",9780791004487,45
149,The reign of the favored women /,"Chamberlin, Ann.",9780312865924,30
150,Master Georgie :,"Bainbridge, Beryl,",9780786705634,24
151,Black tide :,"DuBois, Brendan.",9781883402587,43
152,Cowboy /,"Murdoch, David Hamilton,",9780679840145,27
153,"At swim, two boys :","O'Neill, Jamie.",9780743222945,24
154,Minerva Louise at the fair /,"Stoeke, Janet Morgan.",9780525464396,66
155,Things my girlfriend and I have argued about :,"Millington, Mil.",9780812966664,20
156,Turnabout /,"Haddix, Margaret Peterson.",9780689821875,15
157,Turnabout /,"Haddix, Margaret Peterson.",9780689821875,74
158,Lieberman's folly /,"Kaminsky, Stuart M.",9780312053987,75
159,Probability 1 :,"Aczel, Amir D.",9780151003761,18
160,The Bielski brothers :,"Duffy, Peter,",9780066210742,54
161,Promises to keep :,"Robinson, Sharon,",9780439425926,54
163,"What's the matter, Davy? /","Weninger, Brigitte.",9781558588998,61
164,Building /,"Haslam, Andrew.",9781568472591,53
165,Nano /,"Marlow, John Robert.",9780765301291,17
166,Cities of the plain /,"McCarthy, Cormac,",9780679423904,8
167,Lions of July :,"Jannen, William,",9780891415695,25
168,October smiled back /,"Peters, Lisa Westberg.",9780805017762,58
169,Jungle Halloween /,"Cocca-Leffler, Maryann,",9780807540565,38
170,Ramadan /,"Ghazi, Suhaib Hamid.",9780823412549,38
171,Dachau 29 April 1945 :,,9780896723917,15
172,Wemberly worried /,"Henkes, Kevin.",9780688170271,48
173,The best little girl in the world /,"Levenkron, Steven,",9780809276998,24
174,Good food for camp & trail :,"Miller, Dorcas S.,",9780871088116,37
175,Mrs. Malory :,"Holt, Hazel,",9780525941507,44
176,Ivan the Terrible,"Payne, Robert,",9780690005820,26
177,The chocolate touch /,"Catling, Patrick Skene.",9780688221874,114
178,Charles Sheeler /,"Sheeler, Charles,",9780823047994,9
179,The life of Thomas More /,"Ackroyd, Peter,",9780385477093,24
