title,author,isbn,totalcheckouts
"Dazzle /","Krantz, Judith.",0517575019,40
"The business of books :","Schiffrin, Andre.",1859847633,11
"Three bedrooms, one corpse /","Harris, Charlaine.","0684196433 :",77
"The German high command at war :","Asprey, Robert B.","0688082262 :",12
"The Epicure's lament :","Christensen, Kate,",0767910303,24
"Fatal legacy :","Corley, Elizabeth.","0312283814 :",32
"The devil's music master :","Shirakawa, Sam H.",0195065085,18
"Painting men's portraits /","Singer, Joe,","0823037959 :",23
"The Battle of Britain :","Hough, Richard Alexander,","039302766X :",25
"The mocking program /","Foster, Alan Dean,",0446527742,22
"The poetical works of Elizabeth Barrett Browning.","Browning, Elizabeth Barrett,",0395184851,16
"Wildflowers :","Zim, Herbert Spencer,",1582381623,29
"Temple /","Reilly, Matthew.",0312266596,64
"Grandfather's journey /","Say, Allen.",0395570352,105
"Leslie :","Tyree, Omar.",0743228669,34
"Daughter of joy :","Levy, Jo Ann,","0312865023 (acidfree paper)",30
"Writings and drawings /","Thurber, James,","1883011221 (alk. paper)",42
"The attorney :","Martini, Steve,",0399145362,25
"Buzz /","Wong, Janet S.",0152019235,93
"Send no flowers /","Brown, Sandra,",0553104047,45
"The perfect wife :","Gerhart, Ann.","0373292147 (pbk. : alk. paper) | 0743243838 (alk. paper)",26
"Collage: personalities, concepts [and] techniques","Janis, Harriet (Grossman)",,28
"Jumanji /","Van Allsburg, Chris.",0395304482,90
"Crossroads of twilight /","Jordan, Robert,","0312864590 (regular ed. : acidfree paper) | 0312877757 (limited ed. : acid-free paper)",18
"Drag queen /","Rodi, Robert.","0525939253 (acidfree paper)",17
"Miss Julia meets her match /","Ross, Ann B.","067003293X (acidfree paper)",33
"Brooms are for flying /","Rex, Michael.","0805064109 (hc : alk. paper)",73
"Treetops :","Cheever, Susan.",0553072250,16
"Magnolia Creek /","Landis, Jill Marie.","0345440412 :",46
"Theories of personality /","Hall, Calvin Springer,",0471342270,42
"Exploring Native North America /","Thomas, David Hurst.","0195108876 (alk. paper)",10
"Alphabet antics :","Vinton, Ken.",1575420082,38
"The Children's treasury of animal stories /",,155013504X,25
Poems.,"Burns, Robert,",,25
"Old Testament miniatures: a medieval picture book with 283 paintings from the Creation to the story of David",,,9
"The science of soil /","Bocknek, Jonathan.","0836824687 (lib. bdg.)",26
"All-of-a-kind family downtown.","Taylor, Sydney,","0695803085 | 0695403087 (Titan bdg.)",79
"Texas vendetta /","Kelton, Elmer.","0765305720 (alk. paper)",32
"Understanding Wittgenstein /",,,18
"Tracy Porter's home style :","Porter, Tracy.",0786868112,32
"Black, white, other :","Funderburg, Lise.",0688118240,28
"Aunt Dimity, detective ","Atherton, Nancy.","0786238437 (alk. paper)",51
"Look! :","Wilson, April.","0803709250 :",22
