id,title,author,isbn,annual circs
1,100 best songs of the 20's and 30's /,,9780517245156,1
2,The 13th clue /,"Jonas, Ann",9780688097424,1
3,The 18 penny goose /,"Walker, Sally M.",9780060275563,1
4,'20s and '30s style /,"Horsham, Michael",9781572151710,1
5,5-minute bunny tales for bedtime /,"Sheringham, Sally",9780517664711,1
6,The 9 steps to financial freedom /,"Orman, Suze",9780517707913,1
7,The A.B.C. murders,"Christie, Agatha,",9780553350029,1
8,The abduction :,"Grippando, James,",9780060182625,1
9,About birds :,"Sill, Cathryn P.,",9781561450282,1
10,Absolute truths :,"Howatch, Susan.",9780679412069,1
11,Absolutely normal chaos /,"Creech, Sharon.",9780064406321,1
12,Across the wide and lonesome prairie :,"Gregory, Kristiana.",9780590226516,1
13,Acupuncture :,"Fleischman, Gary F.",9781886449091,1
14,Addy saves the day :,"Porter, Connie Rose,",9781562470845,1
15,Adrift :,"Callahan, Steven.",9780395382066,1
16,After Caroline /,"Hooper, Kay.",9780553099485,1
17,The after-Christmas tree /,"Tyler, Linda Wagner.",9780670830459,1
18,The agent /,"Higgins, George V.,",9780151003570,1
19,Alanna :,"Pierce, Tamora.",9780689309946,1
20,Albert's Thanksgiving /,"Tryon, Leslie.",9780689318658,1
21,"""Alexander's ragtime band"" and other favorite song hits, 1901-1911 /",,9780486253312,1
22,All about deer /,"Arnosky, Jim.",9780590467926,1
23,All about rattlesnakes /,"Arnosky, Jim.",9780590467940,1
24,All I am /,"Roe, Eileen.",9780027773729,1
25,All our yesterdays /,"Parker, Robert B.,",9780385304375,1
26,All our yesterdays /,"Parker, Robert B.,",9780385304375,1
27,All that remains :,"Cornwell, Patricia Daniels.",9780816155262,1
28,"Always outnumbered, always outgunned /","Mosley, Walter.",9780393045390,1
29,Amahl and the night visitors /,"Menotti, Gian Carlo,",9780688054274,1
30,Amber Brown wants extra credit /,"Danziger, Paula,",9780399229008,1
31,Amber Brown wants extra credit /,"Danziger, Paula,",9780399229008,1
32,Ambrose Bierce :,"Morris, Roy.",9780517596463,1
33,The American heritage Larousse Spanish dictionary /,,9780395324295,1
34,The American West /,"Brown, Dee Alexander.",9780025174214,1
35,Amy loves the rain /,"Hoban, Julia.",9780060223571,1
