title,author,isbn,count
"Beloved :","Morrison, Toni.",0394535979,1
"Oh, my goodness! : ","Wilder, Effie Leland.",1561452556,1
"The buried giant :","Ishiguro, Kazuo,","9780307271037 (hardcover)",1
"Stop! /","Randell, Beverley,",0763541621,1
"A birthday cake for Ben /","Randell, Beverley,","0763515051 (pbk.)",1
"The skier /","Randell, Beverley,",0763541559,1
"Indian Ocean islands",,"1932702555 | 9781932702552",1
"Missing man :","Meier, Barry,","9781681681641 : CMD | 1681681641 : CMD",1
"Chameleon chameleon /","Cowley, Joy.","0439666538 :",1
"L'île noire =","Hergé,",2203001062,1
"Daughter of fortune :","Allende, Isabel.","006019491X | 9780060194918 | 9780060932756 | 0060932759",1
"Histoire de Jeannot Lapin","Potter, Beatrix,",,1
"Le ballon rouge. ","Lamorisse, Albert. [from old catalog]",,1
"Irving and Muktuk :","Pinkwater, Daniel Manus,",0618093346,1
"Step gently out /","Frost, Helen,","9780763656010 (hardcover) | 0763656011 (hardcover)",1
"Faces of fear : a novel /","Saul, John.","0345487052 | 9780345487056 (ac",1
"In the dark of the night :","Saul, John.","034548701X (acidfree paper) :",1
"Nightshade /","Saul, John.",0345433297,1
"Orvis guide to beginning fly tying /","Leiser, Eric,","0936644168 | 9780936644165",1
"Boy, were we wrong about dinosaurs! /","Kudlinski, Kathleen V.","9780525469780 (lib. bdg.) :",1
"Sugar /","Rhodes, Jewell Parker.","9780316043052 : HRD | 03160430",1
"Jump into the sky /","Pearsall, Shelley.","9780375836992 : | 0375836993 :",1
"The hungry ocean :","Greenlaw, Linda,",0786864516,1
"The big 50 Boston Bruins :","Shinzawa, Fluto,",9781629372556,1
"Heir to the sky /","Sun, Amanda,","9780373211913 : HRD | 0373211910 : HRD",1
"Blue corn murders :","Pickard, Nancy.",0385312245,1
"House at the end of the street",,,1
"Cross my heart /","Patterson, James,","9780316210911 (hbk.) | 0316210",1
"The New Yorker.",,,1
"The girls :","Cline, Emma.","9780147524010 | 0147524016 | 9780147523990 | 0147523990",1
"War brides /","Battle, Lois.",0896213749,1
"What happened, Miss Simone? :","Light, Alan,","9781101904879 : HRD | 1101904879 : HRD",1
"Paul McCartney :","Norman, Philip,","9780316327961 : HRD | 0316327964 : HRD",1
"What kind of creatures are we? /","Chomsky, Noam","9780231175968 : HRD | 0231175965 : HRD",1
"The A.B.C. murders","Christie, Agatha,","0553350021 :",1
"The cartoon history of the universe III :","Gonick, Larry.","0393051846 :",1
"The folded earth /","Roy, Anuradha.","9781451633337 (pbk.) : | 14516",1
