title,author,isbn,count
"100 best songs of the 20's and 30's /",,0517245159,1
"The 13th clue /","Jonas, Ann","0688097421 (trade) : | 9780688097424 (trade) | 068809743X (lib.) | 9780688097431 (lib.)",1
"The 18 penny goose /","Walker, Sally M.","0060275561 | 9780060275563 | 006027557X (lib. bdg.) | 9780060275570 (lib. bdg.)",1
"'20s and '30s style /","Horsham, Michael","1572151714 :",1
"5-minute bunny tales for bedtime /","Sheringham, Sally","0517664712 :",1
"The 9 steps to financial freedom /","Orman, Suze","0517707918 :",1
"The A.B.C. murders","Christie, Agatha,","0553350021 :",1
"The abduction :","Grippando, James,",0060182628,1
"About birds :","Sill, Cathryn P.,","1561450286 :",1
"Absolute truths :","Howatch, Susan.",0679412069,1
"Absolutely normal chaos /","Creech, Sharon.","0064406326 | 0060269898 | 0060269928 (lib. bdg.)",1
"Across the wide and lonesome prairie :","Gregory, Kristiana.","0590226517 (alk. paper) | 9780590226516 (alk. paper)",1
"Acupuncture :","Fleischman, Gary F.",1886449090,1
"Addy saves the day :","Porter, Connie Rose,","1562470841 : | 1562470833 (pbk.) :",1
"Adrift :","Callahan, Steven.","0395382068 :",1
"After Caroline /","Hooper, Kay.","0553099485 | 9780553099485",1
"The after-Christmas tree /","Tyler, Linda Wagner.","0670830453 : | 9780670830459",1
"The age of innocence.","Wharton, Edith,",,1
"The agent /","Higgins, George V.,",0151003572,1
"Alanna :","Pierce, Tamora.",0689309945,1
"Albert's Thanksgiving /","Tryon, Leslie.","0689318650 :",1
"""Alexander's ragtime band"" and other favorite song hits, 1901-1911 /",,0486253317,1
"All about deer /","Arnosky, Jim.",0590467921,1
"All about rattlesnakes /","Arnosky, Jim.","0590467948 | 9780590467940 | 0590467956 | 9780590467957",1
"All I am /","Roe, Eileen.","0027773728 :",1
"All our yesterdays /","Parker, Robert B.,","0385304374 : | 0385313748 (lg. print)",1
"All our yesterdays /","Parker, Robert B.,","0385304374 : | 0385313748 (lg. print)",1
"All that remains :","Cornwell, Patricia Daniels.",0816155267,1
"Along comes Jake /","Cowley, Joy.",,1
"Always outnumbered, always outgunned /","Mosley, Walter.",0393045390,1
