title,author,isbn,annual circs
title,author,isbn,count
Ancient Egypt /,"Hart, George,",067980742X : | 0679907424 (lib. bdg.),1
The Appalachian Trail /,"Fisher, Ronald M.",087044106X,1
At home in Mitford /,"Karon, Jan,",014025448X (pbk.),1
At home in Mitford /,"Karon, Jan,",014025448X (pbk.),1
Behold-- the dragons! /,"Gibbons, Gail.",068815526X (trade) | 0688155278 (library),1
Beware the brindlebeast /,"Riggio, Anita.",156397133X,1
Black coffee :,"Osborne, Charles,",031219241X :,1
Bloodstream /,"Gerritsen, Tess.",067101675X :,1
The bone collector /,"Deaver, Jeffery.",067086871X (alk. paper),1
The burglar who painted like Mondrian :,"Block, Lawrence.",052594382X,1
Cain his brother /,"Perry, Anne.",044990847X,1
Can I be good? /,"Taylor, Livingston.",015200436X :,1
Candles on Bay Street :,"McKinnon, K. C.",038549128X,1
The dark at the top of the stairs /,"McBratney, Sam.",156402640X,1
Deadwood /,"Dexter, Pete,",039453669X,1
Desolation island /,"O'Brian, Patrick,",081282590X :,1
Eleanor Roosevelt /,"Cook, Blanche Wiesen.",067080486X (v. 1) :,1
Every living thing /,"Herriot, James.",031208188X (hardcover) :,1
Exit the milkman /,"MacLeod, Charlotte.",089296572X,1
Family secrets /,"Thayer, Nancy,",067084439X :,1
A few dying words /,"Gosling, Paula.",089296510X :,1
A field guide to trees and shrubs :,"Petrides, George A.",039535370X (pbk.),1
Firestorm /,"Barr, Nevada.",039914126X (alk. paper) :,1
"Forever, Erma :","Bombeck, Erma.",078620947X (lg. print : hc : alk. paper),1
Frog went a-courtin' /,"Rojankovsky, Feodor,",015230214X : | 0156339005 (pbk.),1
Full of energy /,"Hewitt, Sally.",051620792X (reinforced binding),1
Ginger /,"Voake, Charlotte.",076360108X,1
Gladiator /,"Watkins, Richard.",039582656X,1
"Good night, dinosaurs /","Sierra, Judy.",039565016X,1
"Hanukkah, oh, Hanukkah! :",,055309551X,1
Having our say :,"Delany, Sarah Louise,",156836010X :,1
Hold the anchovies! :,"Rotner, Shelley.",053109507X,1
The holy thief /,"Peters, Ellis,",089296524X :,1
I love boats /,"McDonnell, Flora.",156402539X,1
I wish I were a butterfly /,"Howe, James,",015200470X (lib. bdg.) : | 0152380132 (pbk.) | 0606064893 (lib. bdg.),1
"In a creepy, creepy place and other scary stories /","Gorog, Judith.",006025131X | 0060251328 (lib. bdg.),1
In the woods :,"George, Lindsay Barrett.",068812318X :,1
Incidents in the life of a slave girl :,"Jacobs, Harriet A.",067444745X (alk. paper) | 0674447468 (pbk. : alk. paper),1
Inner simplicity :,"St. James, Elaine.",078688097X :,1
Jessica /,"Henkes, Kevin.",068807829X : | 0688078303 (lib. bdg.),1
"Jingle, the Christmas clown /","DePaola, Tomie,",039922338X :,1
The lazy pig /,"Randell, Beverley.",043504902X,1
The lazy pig /,"Randell, Beverley.",043504902X,1
The lazy pig /,"Randell, Beverley.",043504902X,1
The lazy pig /,"Randell, Beverley.",043504902X,1
Legal tender /,"Scottoline, Lisa.",006017658X :,1
Legal tender /,"Scottoline, Lisa.",006017658X :,1
A Little house reader :,"Wilder, Laura Ingalls,",006026358X | 0060263946 (lib. bdg.),1
Living with grief after sudden loss :,,156032578X,1
Loon Lake /,"Doctorow, E. L.,",039450691X :,1
Mary Poppins in the park /,"Travers, P. L.",015201716X :,1
"Men are from Mars, women are from Venus :","Gray, John,",006016848X (cloth) :,1
Night train to Memphis /,"Peters, Elizabeth.",074517812X (U.K. : alk. paper),1
Out to Canaan /,"Karon, Jan,",067087485X,1
"Papa, please get the moon for me /","Carle, Eric.",088708026X :,1
A patchwork planet /,"Tyler, Anne.",037540256X,1
Pecos Bill :,"Kellogg, Steven.",068805871X | 0688058728 (lib. bdg.),1
The perfect storm :,"Junger, Sebastian.",039304016X,1
Pooh's bedtime book /,"Milne, A. A.",052537373X :,1
Promiscuities :,"Wolf, Naomi.",067941603X (acidfree paper),1
The Queen :,"Pimlott, Ben,",047119431X (cloth : acidfree paper),1
The Random House book of stories from the ballet /,"McCaughrean, Geraldine.",067987125X (trade) | 0679971254 (lib. bdg.),1
Recessional /,"Michener, James A.",067943612X (acidfree paper) :,1
The return of the Indian /,"Banks, Lynne Reid,",038523497X :,1
Ride a pale horse /,"MacInnes, Helen,",081613863X | 0816138648 (pbk.),1
Sacred clowns /,"Hillerman, Tony.",006016767X :,1
Sally's new shoes /,"Smith, Annette.",076354163X,1
Sally's new shoes /,"Smith, Annette.",076354163X,1
A searching heart /,"Oke, Janette,",076422140X | 0764221396,1
A secret affair /,"Bradford, Barbara Taylor,",006018650X :,1
Silly Tilly's valentine /,"Hoban, Lillian",006027400X | 0060274018 (lib. bdg.),1
Stargazers /,"Gibbons, Gail.",082340983X,1
Storage projects you can build /,"Stiles, David R.",157630017X,1
A study in scarlet ;,"Doyle, Arthur Conan,",089577254X,1
Tell me something happy before I go to sleep /,"Dunbar, Joyce.",015201795X | 0152018069,1
Ten little mice /,"Dunbar, Joyce.",015200601X : | 015284614X (oversize pbk.),1
Tracks across Alaska :,"Scott, Alastair,",087113389X : | 0871134705 (pbk.),1
Turn your talents into profits :,"Sanders, Darcie,",067101529X,1
Underground /,"Macaulay, David.",039524739X,1
The view from Saturday /,"Konigsburg, E. L.",068980993X,1
Wall to wall :,"Morris, Mary,",038541465X:,1
Weapons of the elite forces /,"Miller, David.",083175057X,1
The writer's handbook /,,087116096X,1
Sugaring time /,"Lasky, Kathryn.",068971081X,1
The sky phantom /,"Keene, Carolyn.",044809553X | 0448195534,1
From path to highway :,"Gibbons, Gail.",069004514X (lib. bdg.) : | 0690045131 :,1
The ruby in the smoke /,"Pullman, Philip,",039488826X | 0394988264 (pbk.),1
Meet Molly :,"Tripp, Valerie,",093729506X : | 0937295078 (pbk.) :,1
Celestial navigation /,"Tyler, Anne.",039449038X,1
A pocket for Corduroy /,"Freeman, Don,",067056172X,1
A chair for my mother /,"Williams, Vera B.",068800914X | 0688009158 (lib. bdg.) : | 0-8085-3385-1 (Econoclad-Leb copy),1
"Love, Eleanor :","Lash, Joseph P.,",038517053X,1
A field guide to the stars and planets /,"Menzel, Donald Howard,",039534641X | 0395348358 (pbk.),1
Voices in summer /,"Pilcher, Rosamunde.",031285076X,1
Him with his foot in his mouth and other stories /,"Bellow, Saul.",006015179X :,1
The baked bean supper murders /,"Rich, Virginia.",052524185X :,1
A weekend with Wendell /,"Henkes, Kevin.",068806325X,1
A weekend with Wendell /,"Henkes, Kevin.",068806325X,1
Tillie and Mert /,"Luttrell, Ida.",006024027X | 0060240288 (lib. bdg.) :,1
Napoleon /,"Weidhorn, Manfred,",068931163X :,1
Napoleon /,"Weidhorn, Manfred,",068931163X :,1
Paper money /,"Follett, Ken.",068805840X,1
The year of the perfect Christmas tree :,"Houston, Gloria.",080370299X | 0803703007 (lib. bdg.),1
Silence in Hanover Close /,"Perry, Anne.",031201824X :,1
Spirit lost /,"Thayer, Nancy,",068418950X,1
The art lesson /,"DePaola, Tomie,",039921688X,1
The mitten :,"Brett, Jan,",039921920X,1
Animal dreams :,"Kingsolver, Barbara.",006016350X,1
Winter festivals /,"Rosen, Mike.",053118353X (lib. bdg.),1
Easter surprise /,"Stock, Catherine.",002788371X,1
Wings /,"Yolen, Jane.",015297850X :,1
Stardust /,"Parker, Robert B.,",imited ed. : alk. paper) | 039,1
Thanksgiving at our house /,"Watson, Wendy.",039553626X,1
The painter's eye :,"Greenberg, Jan,",038530319X,1
White people /,"Gurganus, Allan,",039458841X :,1
Projection :,"Ablow, Keith R.",067944212X,1
Sudden mischief /,"Parker, Robert B.,",039914370X,1
Battle born /,"Brown, Dale,",055311123X,1
Monster :,"Kellerman, Jonathan.",067945960X,1
It's mine! /,"Lionni, Leo,",039487000X | 0394970004 (lib. bdg.),1
Cover story /,"Boyle, Gerry,",042516893X,1
Blackout /,"Nance, John J.",039914594X,1
Auntie Claus /,"Primavera, Elise.",015201909X,1
Horse heaven /,"Smiley, Jane.",037540600X,1
"The complete book of wills, estates and trusts /","Bove, Alexander A.,",080506298X (pbk. : alk. paper),1
The black opal /,"Holt, Victoria,",038547024X :,1
Bridesmaids revisited /,"Cannell, Dorothy.",067089205X (alk. paper),1
Heirs and parents /,"McInerny, Ralph M.",031220311X,1
Atlantis :,"Balit, Christina.",080506334X,1
"Nora, Nora :","Siddons, Anne Rivers.",006017613X,1
Blue gold :,"Cussler, Clive.",067178546X,1
"Men are from Mars, women are from Venus :","Gray, John,",006016848X (cloth) :,1
The perfect storm :,"Junger, Sebastian.",039304016X,1
Hamsters :,"Amoroso, Cynthia.",156766802X (lib. reinforced),1
